[2026-03-15 21:01:32] Starting new batch: F:\MATLAB_Project\FAEAE_matlab\results_cec2017_formal_high_woa\cec2017_batch_results.mat
[2026-03-15 21:09:35] DONE: F1 | FAEAE | run 26 | best=9.684214e+07 | time=6.608s
[2026-03-15 21:09:42] DONE: F1 | FAEAE | run 27 | best=6.987165e+07 | time=6.590s
[2026-03-15 21:09:49] DONE: F1 | FAEAE | run 28 | best=8.145226e+07 | time=6.752s
[2026-03-15 21:09:56] DONE: F1 | FAEAE | run 29 | best=8.442796e+07 | time=6.914s
[2026-03-15 21:10:03] DONE: F1 | FAEAE | run 30 | best=9.507879e+07 | time=6.630s
[2026-03-15 21:10:03] Block finished: F1 | FAEAE | done=30 | failed=0
[2026-03-15 21:10:03] Entering block: F3 | AE
[2026-03-15 21:10:09] DONE: F3 | AE | run 1 | best=3.150483e+02 | time=5.858s
[2026-03-15 21:10:15] DONE: F3 | AE | run 2 | best=3.188975e+02 | time=5.883s
[2026-03-15 21:10:22] DONE: F3 | AE | run 3 | best=3.162093e+02 | time=5.929s
[2026-03-15 21:10:28] DONE: F3 | AE | run 4 | best=3.193881e+02 | time=5.928s
[2026-03-15 21:10:34] DONE: F3 | AE | run 5 | best=3.157533e+02 | time=5.868s
[2026-03-15 21:10:40] DONE: F3 | AE | run 6 | best=3.152329e+02 | time=5.886s
[2026-03-15 21:10:46] DONE: F3 | AE | run 7 | best=3.185231e+02 | time=5.879s
[2026-03-15 21:10:53] DONE: F3 | AE | run 8 | best=3.171597e+02 | time=5.850s
[2026-03-15 21:10:59] DONE: F3 | AE | run 9 | best=3.161194e+02 | time=5.991s
[2026-03-15 21:11:05] DONE: F3 | AE | run 10 | best=3.156637e+02 | time=5.864s
[2026-03-15 21:11:11] DONE: F3 | AE | run 11 | best=3.157534e+02 | time=5.834s
[2026-03-15 21:11:17] DONE: F3 | AE | run 12 | best=3.199551e+02 | time=5.913s
[2026-03-15 21:11:24] DONE: F3 | AE | run 13 | best=3.164028e+02 | time=5.907s
[2026-03-15 21:11:30] DONE: F3 | AE | run 14 | best=3.195629e+02 | time=5.891s
[2026-03-15 21:11:36] DONE: F3 | AE | run 15 | best=3.143147e+02 | time=6.072s
[2026-03-15 21:11:42] DONE: F3 | AE | run 16 | best=3.153695e+02 | time=6.081s
[2026-03-15 21:11:49] DONE: F3 | AE | run 17 | best=3.150167e+02 | time=5.864s
[2026-03-15 21:11:55] DONE: F3 | AE | run 18 | best=3.170660e+02 | time=5.892s
[2026-03-15 21:12:01] DONE: F3 | AE | run 19 | best=3.172585e+02 | time=6.021s
[2026-03-15 21:12:07] DONE: F3 | AE | run 20 | best=3.150704e+02 | time=5.870s
[2026-03-15 21:12:14] DONE: F3 | AE | run 21 | best=3.165807e+02 | time=5.855s
[2026-03-15 21:12:20] DONE: F3 | AE | run 22 | best=3.138196e+02 | time=5.867s
[2026-03-15 21:12:26] DONE: F3 | AE | run 23 | best=3.191533e+02 | time=5.836s
[2026-03-15 21:12:32] DONE: F3 | AE | run 24 | best=3.109183e+02 | time=5.918s
[2026-03-15 21:12:38] DONE: F3 | AE | run 25 | best=3.174355e+02 | time=5.855s
[2026-03-15 21:12:44] DONE: F3 | AE | run 26 | best=3.160784e+02 | time=5.905s
[2026-03-15 21:12:51] DONE: F3 | AE | run 27 | best=3.177514e+02 | time=5.872s
[2026-03-15 21:12:57] DONE: F3 | AE | run 28 | best=3.174411e+02 | time=5.847s
[2026-03-15 21:13:03] DONE: F3 | AE | run 29 | best=3.140751e+02 | time=5.866s
[2026-03-15 21:13:09] DONE: F3 | AE | run 30 | best=3.195182e+02 | time=5.852s
[2026-03-15 21:13:09] Block finished: F3 | AE | done=30 | failed=0
[2026-03-15 21:13:09] Entering block: F3 | PSO
[2026-03-15 21:13:10] DONE: F3 | PSO | run 1 | best=3.000000e+02 | time=0.884s
[2026-03-15 21:13:11] DONE: F3 | PSO | run 2 | best=3.000000e+02 | time=0.879s
[2026-03-15 21:13:13] DONE: F3 | PSO | run 3 | best=3.000000e+02 | time=0.894s
[2026-03-15 21:13:14] DONE: F3 | PSO | run 4 | best=3.000000e+02 | time=0.878s
[2026-03-15 21:13:15] DONE: F3 | PSO | run 5 | best=3.000000e+02 | time=0.878s
[2026-03-15 21:13:16] DONE: F3 | PSO | run 6 | best=3.000000e+02 | time=0.890s
[2026-03-15 21:13:17] DONE: F3 | PSO | run 7 | best=3.000000e+02 | time=0.889s
[2026-03-15 21:13:19] DONE: F3 | PSO | run 8 | best=3.000000e+02 | time=0.886s
[2026-03-15 21:13:20] DONE: F3 | PSO | run 9 | best=3.000000e+02 | time=0.885s
[2026-03-15 21:13:21] DONE: F3 | PSO | run 10 | best=3.000000e+02 | time=0.886s
[2026-03-15 21:13:22] DONE: F3 | PSO | run 11 | best=3.000000e+02 | time=0.886s
[2026-03-15 21:13:24] DONE: F3 | PSO | run 12 | best=3.000000e+02 | time=0.881s
[2026-03-15 21:13:25] DONE: F3 | PSO | run 13 | best=3.000000e+02 | time=0.886s
[2026-03-15 21:13:26] DONE: F3 | PSO | run 14 | best=3.000000e+02 | time=0.883s
[2026-03-15 21:13:27] DONE: F3 | PSO | run 15 | best=3.000000e+02 | time=0.880s
[2026-03-15 21:13:28] DONE: F3 | PSO | run 16 | best=3.000000e+02 | time=0.879s
[2026-03-15 21:13:30] DONE: F3 | PSO | run 17 | best=3.000000e+02 | time=0.889s
[2026-03-15 21:13:31] DONE: F3 | PSO | run 18 | best=3.000000e+02 | time=0.888s
[2026-03-15 21:13:32] DONE: F3 | PSO | run 19 | best=3.000000e+02 | time=0.894s
[2026-03-15 21:13:33] DONE: F3 | PSO | run 20 | best=3.000000e+02 | time=0.888s
