[2026-03-22 16:52:16] Starting new batch: F:\MATLAB_Project\FAEAE_matlab\results_uav_comparison_formal_20260322_165216\fair_init\uav_comparison_results.mat
[2026-03-22 17:04:55] DONE: Scene 1 | HHO | run 14 | best=287.859717 | time=9.009s
[2026-03-22 17:05:04] DONE: Scene 1 | HHO | run 15 | best=285.299186 | time=9.089s
[2026-03-22 17:05:13] DONE: Scene 1 | HHO | run 16 | best=304.253227 | time=8.981s
[2026-03-22 17:05:22] DONE: Scene 1 | HHO | run 17 | best=287.261780 | time=9.055s
[2026-03-22 17:05:31] DONE: Scene 1 | HHO | run 18 | best=641.624369 | time=8.703s
[2026-03-22 17:05:40] DONE: Scene 1 | HHO | run 19 | best=286.163055 | time=8.669s
[2026-03-22 17:05:48] DONE: Scene 1 | HHO | run 20 | best=303.146304 | time=8.487s
[2026-03-22 17:05:57] DONE: Scene 1 | HHO | run 21 | best=294.005412 | time=8.384s
[2026-03-22 17:06:05] DONE: Scene 1 | HHO | run 22 | best=283.116564 | time=8.590s
[2026-03-22 17:06:14] DONE: Scene 1 | HHO | run 23 | best=408.035502 | time=8.515s
[2026-03-22 17:06:23] DONE: Scene 1 | HHO | run 24 | best=287.730710 | time=8.662s
[2026-03-22 17:06:31] DONE: Scene 1 | HHO | run 25 | best=292.707099 | time=8.601s
[2026-03-22 17:06:40] DONE: Scene 1 | HHO | run 26 | best=291.226115 | time=8.628s
[2026-03-22 17:06:49] DONE: Scene 1 | HHO | run 27 | best=288.360788 | time=8.518s
[2026-03-22 17:06:57] DONE: Scene 1 | HHO | run 28 | best=283.983451 | time=8.491s
[2026-03-22 17:07:06] DONE: Scene 1 | HHO | run 29 | best=332.130773 | time=8.475s
[2026-03-22 17:07:14] DONE: Scene 1 | HHO | run 30 | best=320.653415 | time=8.311s
[2026-03-22 17:07:14] Block finished: Scene 1 | HHO | done=30 | failed=0
[2026-03-22 17:07:14] Entering block: Scene 1 | WOA
[2026-03-22 17:07:21] DONE: Scene 1 | WOA | run 1 | best=290.840467 | time=6.566s
[2026-03-22 17:07:27] DONE: Scene 1 | WOA | run 2 | best=354.838774 | time=6.583s
[2026-03-22 17:07:34] DONE: Scene 1 | WOA | run 3 | best=297.603155 | time=6.664s
[2026-03-22 17:07:41] DONE: Scene 1 | WOA | run 4 | best=300.946262 | time=6.698s
[2026-03-22 17:07:48] DONE: Scene 1 | WOA | run 5 | best=295.028853 | time=6.580s
[2026-03-22 17:07:54] DONE: Scene 1 | WOA | run 6 | best=296.888136 | time=6.584s
[2026-03-22 17:08:01] DONE: Scene 1 | WOA | run 7 | best=293.930106 | time=6.612s
[2026-03-22 17:08:08] DONE: Scene 1 | WOA | run 8 | best=287.389679 | time=6.581s
[2026-03-22 17:08:14] DONE: Scene 1 | WOA | run 9 | best=290.051432 | time=6.608s
[2026-03-22 17:08:22] DONE: Scene 1 | WOA | run 10 | best=297.494864 | time=7.000s
[2026-03-22 17:08:28] DONE: Scene 1 | WOA | run 11 | best=299.260710 | time=6.717s
[2026-03-22 17:08:35] DONE: Scene 1 | WOA | run 12 | best=942.093259 | time=6.729s
[2026-03-22 17:08:42] DONE: Scene 1 | WOA | run 13 | best=300.045798 | time=6.615s
[2026-03-22 17:08:49] DONE: Scene 1 | WOA | run 14 | best=294.455222 | time=6.613s
[2026-03-22 17:08:55] DONE: Scene 1 | WOA | run 15 | best=291.017414 | time=6.639s
[2026-03-22 17:09:02] DONE: Scene 1 | WOA | run 16 | best=462.859888 | time=6.618s
[2026-03-22 17:09:09] DONE: Scene 1 | WOA | run 17 | best=285.767378 | time=6.598s
[2026-03-22 17:09:15] DONE: Scene 1 | WOA | run 18 | best=376.491900 | time=6.624s
[2026-03-22 17:09:22] DONE: Scene 1 | WOA | run 19 | best=295.066014 | time=6.598s
[2026-03-22 17:09:29] DONE: Scene 1 | WOA | run 20 | best=301.552516 | time=6.701s
[2026-03-22 17:09:36] DONE: Scene 1 | WOA | run 21 | best=287.301008 | time=6.589s
[2026-03-22 17:09:42] DONE: Scene 1 | WOA | run 22 | best=322.101294 | time=6.594s
[2026-03-22 17:09:49] DONE: Scene 1 | WOA | run 23 | best=367.213698 | time=6.598s
[2026-03-22 17:09:56] DONE: Scene 1 | WOA | run 24 | best=290.406503 | time=6.749s
[2026-03-22 17:10:03] DONE: Scene 1 | WOA | run 25 | best=296.486143 | time=6.609s
[2026-03-22 17:10:09] DONE: Scene 1 | WOA | run 26 | best=298.407196 | time=6.587s
[2026-03-22 17:10:16] DONE: Scene 1 | WOA | run 27 | best=309.092347 | time=6.595s
[2026-03-22 17:10:23] DONE: Scene 1 | WOA | run 28 | best=290.966428 | time=6.604s
[2026-03-22 17:10:29] DONE: Scene 1 | WOA | run 29 | best=289.979521 | time=6.596s
[2026-03-22 17:10:36] DONE: Scene 1 | WOA | run 30 | best=432.260205 | time=6.681s
[2026-03-22 17:10:36] Block finished: Scene 1 | WOA | done=30 | failed=0
[2026-03-22 17:10:36] Entering block: Scene 1 | FAEAE
[2026-03-22 17:11:44] DONE: Scene 1 | FAEAE | run 1 | best=295.451637 | time=67.677s
[2026-03-22 17:12:51] DONE: Scene 1 | FAEAE | run 2 | best=321.685417 | time=66.673s
[2026-03-22 17:14:09] DONE: Scene 1 | FAEAE | run 3 | best=315.975432 | time=78.385s
[2026-03-22 17:15:21] DONE: Scene 1 | FAEAE | run 4 | best=323.154431 | time=71.235s
[2026-03-22 17:16:33] DONE: Scene 1 | FAEAE | run 5 | best=312.102947 | time=72.509s
[2026-03-22 17:17:41] DONE: Scene 1 | FAEAE | run 6 | best=300.762879 | time=68.061s
[2026-03-22 17:18:56] DONE: Scene 1 | FAEAE | run 7 | best=314.046374 | time=74.107s
[2026-03-22 17:20:14] DONE: Scene 1 | FAEAE | run 8 | best=324.359960 | time=78.437s
[2026-03-22 17:21:22] DONE: Scene 1 | FAEAE | run 9 | best=294.569300 | time=68.198s
[2026-03-22 17:22:30] DONE: Scene 1 | FAEAE | run 10 | best=324.339178 | time=67.361s
[2026-03-22 17:23:38] DONE: Scene 1 | FAEAE | run 11 | best=304.318337 | time=68.015s
[2026-03-22 17:24:47] DONE: Scene 1 | FAEAE | run 12 | best=294.797708 | time=68.907s
[2026-03-22 17:25:55] DONE: Scene 1 | FAEAE | run 13 | best=311.881841 | time=67.756s
[2026-03-22 17:27:03] DONE: Scene 1 | FAEAE | run 14 | best=299.776606 | time=67.554s
[2026-03-22 17:28:13] DONE: Scene 1 | FAEAE | run 15 | best=299.395543 | time=69.857s
[2026-03-22 17:29:19] DONE: Scene 1 | FAEAE | run 16 | best=320.881338 | time=66.433s
[2026-03-22 17:30:27] DONE: Scene 1 | FAEAE | run 17 | best=303.353300 | time=68.157s
[2026-03-22 17:31:36] DONE: Scene 1 | FAEAE | run 18 | best=303.859062 | time=68.596s
[2026-03-22 17:32:44] DONE: Scene 1 | FAEAE | run 19 | best=298.724722 | time=67.493s
[2026-03-22 17:33:52] DONE: Scene 1 | FAEAE | run 20 | best=300.043383 | time=67.966s
[2026-03-22 17:34:59] DONE: Scene 1 | FAEAE | run 21 | best=293.989327 | time=67.544s
