[2026-03-16 16:31:17] Starting new batch: F:\MATLAB_Project\FAEAE_matlab\results_uav_6alg_formal_safe\uav_comparison_results.mat
[2026-03-16 16:42:31] Entering block: Scene 1 | HHO
[2026-03-16 16:42:40] DONE: Scene 1 | HHO | run 1 | best=379.352765 | time=8.587s
[2026-03-16 16:42:49] DONE: Scene 1 | HHO | run 2 | best=863.945851 | time=8.366s
[2026-03-16 16:42:57] DONE: Scene 1 | HHO | run 3 | best=375.774393 | time=8.346s
[2026-03-16 16:43:06] DONE: Scene 1 | HHO | run 4 | best=742.998383 | time=8.520s
[2026-03-16 16:43:14] DONE: Scene 1 | HHO | run 5 | best=369.397188 | time=8.583s
[2026-03-16 16:43:23] DONE: Scene 1 | HHO | run 6 | best=347.386932 | time=8.472s
[2026-03-16 16:43:31] DONE: Scene 1 | HHO | run 7 | best=367.483081 | time=8.388s
[2026-03-16 16:43:40] DONE: Scene 1 | HHO | run 8 | best=316.878762 | time=8.394s
[2026-03-16 16:43:48] DONE: Scene 1 | HHO | run 9 | best=349.311094 | time=8.379s
[2026-03-16 16:43:57] DONE: Scene 1 | HHO | run 10 | best=351.178101 | time=8.553s
[2026-03-16 16:44:05] DONE: Scene 1 | HHO | run 11 | best=317.205223 | time=8.472s
[2026-03-16 16:44:14] DONE: Scene 1 | HHO | run 12 | best=330.279197 | time=8.290s
[2026-03-16 16:44:22] DONE: Scene 1 | HHO | run 13 | best=296.277300 | time=8.545s
[2026-03-16 16:44:31] DONE: Scene 1 | HHO | run 14 | best=337.873457 | time=8.516s
[2026-03-16 16:44:40] DONE: Scene 1 | HHO | run 15 | best=344.035621 | time=8.538s
[2026-03-16 16:44:48] DONE: Scene 1 | HHO | run 16 | best=305.465279 | time=8.451s
[2026-03-16 16:44:56] DONE: Scene 1 | HHO | run 17 | best=331.304080 | time=8.292s
[2026-03-16 16:45:05] DONE: Scene 1 | HHO | run 18 | best=415.098280 | time=8.328s
[2026-03-16 16:45:13] DONE: Scene 1 | HHO | run 19 | best=375.068069 | time=8.322s
[2026-03-16 16:45:22] DONE: Scene 1 | HHO | run 20 | best=337.266747 | time=8.410s
[2026-03-16 16:45:30] DONE: Scene 1 | HHO | run 21 | best=305.866900 | time=8.502s
[2026-03-16 16:45:39] DONE: Scene 1 | HHO | run 22 | best=349.874838 | time=8.442s
[2026-03-16 16:45:47] DONE: Scene 1 | HHO | run 23 | best=335.070316 | time=8.514s
