[2026-03-13 10:13:27] Starting new batch: F:\MATLAB_Project\FAEAE_matlab\results_cec2017_formal\cec2017_batch_results.mat
[2026-03-13 10:14:05] DONE: F1 | GWO | run 10 | best=6.903971e+09 | time=0.117s
[2026-03-13 10:14:05] DONE: F1 | GWO | run 11 | best=3.744622e+09 | time=0.111s
[2026-03-13 10:14:06] DONE: F1 | GWO | run 12 | best=6.015667e+09 | time=0.114s
[2026-03-13 10:14:06] DONE: F1 | GWO | run 13 | best=4.608154e+09 | time=0.115s
[2026-03-13 10:14:06] DONE: F1 | GWO | run 14 | best=4.921455e+09 | time=0.113s
[2026-03-13 10:14:06] DONE: F1 | GWO | run 15 | best=5.138777e+09 | time=0.117s
[2026-03-13 10:14:07] DONE: F1 | GWO | run 16 | best=8.752699e+09 | time=0.118s
[2026-03-13 10:14:07] DONE: F1 | GWO | run 17 | best=5.418714e+09 | time=0.112s
[2026-03-13 10:14:07] DONE: F1 | GWO | run 18 | best=4.731844e+09 | time=0.114s
[2026-03-13 10:14:08] DONE: F1 | GWO | run 19 | best=9.572827e+09 | time=0.114s
[2026-03-13 10:14:08] DONE: F1 | GWO | run 20 | best=5.826631e+09 | time=0.115s
[2026-03-13 10:14:08] DONE: F1 | GWO | run 21 | best=5.590631e+09 | time=0.116s
[2026-03-13 10:14:08] DONE: F1 | GWO | run 22 | best=7.072644e+09 | time=0.117s
[2026-03-13 10:14:09] DONE: F1 | GWO | run 23 | best=5.895028e+09 | time=0.116s
[2026-03-13 10:14:09] DONE: F1 | GWO | run 24 | best=7.552139e+09 | time=0.115s
[2026-03-13 10:14:09] DONE: F1 | GWO | run 25 | best=4.015670e+09 | time=0.113s
[2026-03-13 10:14:09] DONE: F1 | GWO | run 26 | best=7.985719e+09 | time=0.117s
[2026-03-13 10:14:10] DONE: F1 | GWO | run 27 | best=4.821288e+09 | time=0.114s
[2026-03-13 10:14:10] DONE: F1 | GWO | run 28 | best=8.395638e+09 | time=0.123s
[2026-03-13 10:14:10] DONE: F1 | GWO | run 29 | best=5.432934e+09 | time=0.117s
[2026-03-13 10:14:10] DONE: F1 | GWO | run 30 | best=7.275197e+09 | time=0.115s
[2026-03-13 10:14:11] Block finished: F1 | GWO | done=30 | failed=0
[2026-03-13 10:14:11] Entering block: F1 | HHO
[2026-03-13 10:14:11] DONE: F1 | HHO | run 1 | best=1.110115e+08 | time=0.094s
[2026-03-13 10:14:11] DONE: F1 | HHO | run 2 | best=1.088843e+08 | time=0.102s
[2026-03-13 10:14:11] DONE: F1 | HHO | run 3 | best=1.211908e+08 | time=0.097s
[2026-03-13 10:14:11] DONE: F1 | HHO | run 4 | best=1.947180e+08 | time=0.100s
[2026-03-13 10:14:12] DONE: F1 | HHO | run 5 | best=1.181192e+08 | time=0.094s
[2026-03-13 10:14:12] DONE: F1 | HHO | run 6 | best=1.263913e+08 | time=0.097s
[2026-03-13 10:14:12] DONE: F1 | HHO | run 7 | best=8.643710e+07 | time=0.097s
[2026-03-13 10:14:12] DONE: F1 | HHO | run 8 | best=1.022601e+08 | time=0.098s
[2026-03-13 10:14:13] DONE: F1 | HHO | run 9 | best=1.159832e+08 | time=0.098s
[2026-03-13 10:14:13] DONE: F1 | HHO | run 10 | best=8.855628e+07 | time=0.095s
[2026-03-13 10:14:13] DONE: F1 | HHO | run 11 | best=1.047673e+08 | time=0.096s
[2026-03-13 10:14:13] DONE: F1 | HHO | run 12 | best=1.657976e+08 | time=0.107s
[2026-03-13 10:14:14] DONE: F1 | HHO | run 13 | best=1.276368e+08 | time=0.096s
