FuncId,Method,Mean,Std,Best,Median,AvgRuntime,Rank
7,Base-AE,894.018052703661,23.6806891878144,846.71727254971,895.599557877119,5.78697937333333,3
7,AE+Init,801.235458992958,41.7474653172935,763.234384330719,779.984160697925,5.88542362,1
7,AE+Init+AOS,849.421951224028,33.424677759246,792.13248133323,845.532919225352,6.93121404666667,2
7,AE+Init+AOS+Repair,908.567367031907,10.0946675266536,874.745853672571,909.732353882851,7.24401073666667,4
7,FAE-AE,918.473029892449,8.66660424872307,904.187345191414,918.222100798089,6.44910631333333,5
8,Base-AE,929.254701415634,17.7280814207542,902.801104282766,925.797194546979,5.72304069333333,2
8,AE+Init,903.070274113447,11.8443145702764,886.044774300231,899.814282512504,5.83455710333333,1
8,AE+Init+AOS,943.729139898214,17.809216948605,914.477949011845,944.821267788288,6.85133229,3
8,AE+Init+AOS+Repair,951.763072387882,14.8271911099629,916.079619773764,954.229832555256,7.17753046666667,4
8,FAE-AE,961.584528742554,9.0194916431051,941.975594929453,960.336997040769,6.37977977,5
9,Base-AE,6530.2856212041,1316.67928204235,3641.30628360268,6917.98807903515,6.18108432666667,5
9,AE+Init,4082.62070821247,1959.49286989883,900.896907800683,4319.46054866753,6.29598288333333,3
9,AE+Init+AOS,5737.11629626689,1524.12556583425,2193.06920531073,5975.31662356716,7.35506515333333,4
9,AE+Init+AOS+Repair,970.877972539369,10.9030771319851,944.876178140209,971.994373430997,7.63349850666667,1
9,FAE-AE,1013.84155023461,14.0755061234885,976.836600840461,1012.97957698267,6.87721821666667,2
10,Base-AE,4227.58421416223,657.384857222048,2837.00966753975,4138.37494528121,6.07877089,2
10,AE+Init,3546.03305446268,468.043633383782,2205.95001589066,3587.33745502018,6.19447347666666,1
10,AE+Init+AOS,5224.59821764267,1329.8512272609,3877.04118212643,4775.02136247721,7.2721682,3
10,AE+Init+AOS+Repair,5912.05999361483,614.255150923645,4258.44664576752,5849.06575436661,7.61400907333334,4
10,FAE-AE,6518.60810636568,677.963686234874,5131.02754404259,6538.05882358779,6.75808277333333,5
11,Base-AE,1227.07432302581,39.7556662272044,1159.47598839298,1234.36395460361,5.73578830333333,3
11,AE+Init,1194.65015338393,31.8116047302845,1141.00677877346,1187.8851283572,5.87146260666667,1
11,AE+Init+AOS,1202.73916225694,32.0987066019313,1160.23077664751,1196.43819341537,6.89947152,2
11,AE+Init+AOS+Repair,1283.9292863444,31.8564763870187,1219.91917535314,1289.42578909672,7.18344982333333,4
11,FAE-AE,1323.62535257629,34.8382199380019,1255.29140840785,1325.64056650321,6.41947209666667,5
12,Base-AE,4905865.12571478,1942897.38695104,1583626.92982805,4354325.94092716,5.84947481,3
12,AE+Init,2650074.04531472,769961.217993922,1142534.3136427,2496313.93972196,5.97305952666667,2
12,AE+Init+AOS,961150.775618467,437343.078307763,447163.608796052,851649.664671036,7.02905056,1
12,AE+Init+AOS+Repair,33905615.8698308,8784283.1755535,12714820.9903765,32887400.8406837,7.3463578,4
12,FAE-AE,49546966.6070731,9920111.33280968,29041370.1202992,50680912.8942338,6.54853671333333,5
13,Base-AE,523168.598557413,135111.977156482,267524.727421886,503613.477976673,5.75370214666667,3
13,AE+Init,158549.836881108,46053.2585329098,55141.4655104925,150826.296624264,5.87013344333333,2
13,AE+Init+AOS,37875.1921517038,8245.15514084527,20946.263359643,37065.7275178358,6.95503419333333,1
13,AE+Init+AOS+Repair,12583258.653197,3363640.42844445,6124875.00349879,12115992.8203858,7.24649862,4
13,FAE-AE,18852176.6286917,4934693.06482441,8766148.69164716,17876155.5963401,6.41907339,5
14,Base-AE,4914.56732686935,3088.74783503356,1760.41834284008,4155.71504453408,5.96597211,3
14,AE+Init,3802.46587465948,2008.11527918988,1716.40202971701,3374.95068556307,6.0871343,2
14,AE+Init+AOS,3179.28312922162,1263.39993264716,1647.99919616482,2924.47788837126,7.12920269666667,1
14,AE+Init+AOS+Repair,9135.95667582249,4011.55964782747,4363.13363460775,7724.7764869145,7.46934490333333,4
14,FAE-AE,11852.531111922,4979.36882229,5890.68164857812,10357.5211250088,6.62546504,5
15,Base-AE,80711.190085123,24862.2025541906,29647.5086815301,83002.0445851544,5.74035647,3
15,AE+Init,30247.7801499735,8752.13258939412,17416.6256341139,28424.3793038832,5.8533792,2
15,AE+Init+AOS,16513.2706637707,4313.58045998401,10022.5415469786,15848.5973348281,6.90954062,1
15,AE+Init+AOS+Repair,1301706.33705524,558143.093024367,173509.899215224,1305930.73306478,7.24703705,4
15,FAE-AE,2023374.20943756,965512.877170411,588977.891606302,1807192.66466289,6.39058232333333,5
16,Base-AE,2865.24232618892,287.378107864552,2417.42657640956,2886.01923495698,5.85283451333333,4
16,AE+Init,2375.79378729589,128.802501627791,2175.01446854301,2360.14273401953,6.00078520666667,1
16,AE+Init+AOS,2889.90123430414,360.941520870932,2262.91658647493,2823.70083479045,7.01371288,5
16,AE+Init+AOS+Repair,2488.06922702873,203.705860113248,2053.70970184425,2470.61695796204,7.36708228333333,2
16,FAE-AE,2596.95204758441,217.75721784657,2189.02222736588,2590.98497272889,6.54833796,3
17,Base-AE,2363.27252349302,203.16682725357,2012.56989250546,2376.09991603196,6.62764817333333,4
17,AE+Init,2205.11197203359,169.552072565294,1913.48008807926,2208.73992262176,6.77817112333333,3
17,AE+Init+AOS,2616.18601750156,263.145572345002,2143.57552994938,2573.31768781089,7.82563178333333,5
