[2026-03-20 20:52:13] Starting new batch: results_cec2017_ablation_formal_high\cec_ablation_batch_results.mat
[2026-03-20 22:40:05] Block finished: F1 | AE+Init+AOS | done=30 | failed=0
[2026-03-20 22:40:05] Entering block: F1 | AE+Init+AOS+Repair
[2026-03-20 22:40:13] DONE: F1 | AE+Init+AOS+Repair | run 1 | best=2.521760e+08 | time=7.146s
[2026-03-20 22:40:20] DONE: F1 | AE+Init+AOS+Repair | run 2 | best=2.448585e+08 | time=7.083s
[2026-03-20 22:40:27] DONE: F1 | AE+Init+AOS+Repair | run 3 | best=2.351098e+08 | time=7.136s
[2026-03-20 22:40:34] DONE: F1 | AE+Init+AOS+Repair | run 4 | best=1.447208e+08 | time=7.060s
[2026-03-20 22:40:41] DONE: F1 | AE+Init+AOS+Repair | run 5 | best=2.299890e+08 | time=7.115s
[2026-03-20 22:40:49] DONE: F1 | AE+Init+AOS+Repair | run 6 | best=2.387531e+08 | time=7.215s
[2026-03-20 22:40:56] DONE: F1 | AE+Init+AOS+Repair | run 7 | best=2.239994e+08 | time=7.222s
[2026-03-20 22:41:03] DONE: F1 | AE+Init+AOS+Repair | run 8 | best=2.313260e+08 | time=7.155s
[2026-03-20 22:41:11] DONE: F1 | AE+Init+AOS+Repair | run 9 | best=2.230677e+08 | time=7.138s
[2026-03-20 22:41:18] DONE: F1 | AE+Init+AOS+Repair | run 10 | best=2.024587e+08 | time=7.104s
[2026-03-20 22:41:25] DONE: F1 | AE+Init+AOS+Repair | run 11 | best=2.412177e+08 | time=7.128s
[2026-03-20 22:41:33] DONE: F1 | AE+Init+AOS+Repair | run 12 | best=2.584928e+08 | time=7.161s
[2026-03-20 22:41:40] DONE: F1 | AE+Init+AOS+Repair | run 13 | best=2.440201e+08 | time=7.127s
[2026-03-20 22:41:47] DONE: F1 | AE+Init+AOS+Repair | run 14 | best=1.960866e+08 | time=7.075s
[2026-03-20 22:41:54] DONE: F1 | AE+Init+AOS+Repair | run 15 | best=2.299342e+08 | time=7.222s
[2026-03-20 22:42:02] DONE: F1 | AE+Init+AOS+Repair | run 16 | best=2.734663e+08 | time=7.070s
[2026-03-20 22:42:09] DONE: F1 | AE+Init+AOS+Repair | run 17 | best=2.361747e+08 | time=7.080s
[2026-03-20 22:42:16] DONE: F1 | AE+Init+AOS+Repair | run 18 | best=2.754618e+08 | time=7.100s
[2026-03-20 22:42:23] DONE: F1 | AE+Init+AOS+Repair | run 19 | best=2.217094e+08 | time=7.072s
[2026-03-20 22:42:31] DONE: F1 | AE+Init+AOS+Repair | run 20 | best=1.945551e+08 | time=7.056s
[2026-03-20 22:42:38] DONE: F1 | AE+Init+AOS+Repair | run 21 | best=1.937023e+08 | time=7.153s
[2026-03-20 22:42:45] DONE: F1 | AE+Init+AOS+Repair | run 22 | best=2.592775e+08 | time=7.097s
[2026-03-20 22:42:52] DONE: F1 | AE+Init+AOS+Repair | run 23 | best=2.498491e+08 | time=7.039s
[2026-03-20 22:42:59] DONE: F1 | AE+Init+AOS+Repair | run 24 | best=2.685752e+08 | time=7.112s
[2026-03-20 22:43:07] DONE: F1 | AE+Init+AOS+Repair | run 25 | best=2.354368e+08 | time=7.140s
[2026-03-20 22:43:14] DONE: F1 | AE+Init+AOS+Repair | run 26 | best=2.550322e+08 | time=7.120s
[2026-03-20 22:43:21] DONE: F1 | AE+Init+AOS+Repair | run 27 | best=2.322574e+08 | time=7.076s
[2026-03-20 22:43:28] DONE: F1 | AE+Init+AOS+Repair | run 28 | best=2.162410e+08 | time=7.079s
[2026-03-20 22:43:36] DONE: F1 | AE+Init+AOS+Repair | run 29 | best=2.090304e+08 | time=7.082s
[2026-03-20 22:43:43] DONE: F1 | AE+Init+AOS+Repair | run 30 | best=2.529399e+08 | time=7.080s
[2026-03-20 22:43:43] Block finished: F1 | AE+Init+AOS+Repair | done=30 | failed=0
[2026-03-20 22:43:43] Entering block: F1 | FAE-AE
[2026-03-20 22:43:49] DONE: F1 | FAE-AE | run 1 | best=3.206918e+08 | time=6.392s
[2026-03-20 22:43:56] DONE: F1 | FAE-AE | run 2 | best=4.353113e+08 | time=6.334s
[2026-03-20 22:44:02] DONE: F1 | FAE-AE | run 3 | best=3.687290e+08 | time=6.325s
[2026-03-20 22:44:09] DONE: F1 | FAE-AE | run 4 | best=3.529547e+08 | time=6.327s
[2026-03-20 22:44:15] DONE: F1 | FAE-AE | run 5 | best=3.500283e+08 | time=6.353s
[2026-03-20 22:44:22] DONE: F1 | FAE-AE | run 6 | best=4.259523e+08 | time=6.282s
[2026-03-20 22:44:28] DONE: F1 | FAE-AE | run 7 | best=4.116819e+08 | time=6.328s
[2026-03-20 22:44:35] DONE: F1 | FAE-AE | run 8 | best=3.567306e+08 | time=6.309s
[2026-03-20 22:44:41] DONE: F1 | FAE-AE | run 9 | best=4.297129e+08 | time=6.307s
[2026-03-20 22:44:48] DONE: F1 | FAE-AE | run 10 | best=3.144417e+08 | time=6.304s
[2026-03-20 22:44:54] DONE: F1 | FAE-AE | run 11 | best=2.700932e+08 | time=6.285s
[2026-03-20 22:45:01] DONE: F1 | FAE-AE | run 12 | best=3.366095e+08 | time=6.353s
[2026-03-20 22:45:07] DONE: F1 | FAE-AE | run 13 | best=2.643035e+08 | time=6.251s
[2026-03-20 22:45:13] DONE: F1 | FAE-AE | run 14 | best=3.646855e+08 | time=6.304s
[2026-03-20 22:45:20] DONE: F1 | FAE-AE | run 15 | best=4.209019e+08 | time=6.318s
[2026-03-20 22:45:26] DONE: F1 | FAE-AE | run 16 | best=4.328906e+08 | time=6.294s
[2026-03-20 22:45:33] DONE: F1 | FAE-AE | run 17 | best=3.241218e+08 | time=6.297s
[2026-03-20 22:45:39] DONE: F1 | FAE-AE | run 18 | best=3.840175e+08 | time=6.303s
[2026-03-20 22:45:46] DONE: F1 | FAE-AE | run 19 | best=3.546640e+08 | time=6.295s
[2026-03-20 22:45:52] DONE: F1 | FAE-AE | run 20 | best=2.866588e+08 | time=6.300s
[2026-03-20 22:45:59] DONE: F1 | FAE-AE | run 21 | best=4.151440e+08 | time=6.301s
[2026-03-20 22:46:05] DONE: F1 | FAE-AE | run 22 | best=3.434996e+08 | time=6.290s
[2026-03-20 22:46:11] DONE: F1 | FAE-AE | run 23 | best=3.782667e+08 | time=6.268s
[2026-03-20 22:46:18] DONE: F1 | FAE-AE | run 24 | best=3.016906e+08 | time=6.328s
[2026-03-20 22:46:24] DONE: F1 | FAE-AE | run 25 | best=4.096534e+08 | time=6.378s
[2026-03-20 22:46:31] DONE: F1 | FAE-AE | run 26 | best=3.798640e+08 | time=6.315s
[2026-03-20 22:46:37] DONE: F1 | FAE-AE | run 27 | best=3.593211e+08 | time=6.346s
[2026-03-20 22:46:44] DONE: F1 | FAE-AE | run 28 | best=3.343635e+08 | time=6.271s
[2026-03-20 22:46:50] DONE: F1 | FAE-AE | run 29 | best=3.212370e+08 | time=6.300s
[2026-03-20 22:46:57] DONE: F1 | FAE-AE | run 30 | best=3.138612e+08 | time=6.314s
[2026-03-20 22:46:57] Block finished: F1 | FAE-AE | done=30 | failed=0
[2026-03-20 22:46:57] Entering block: F3 | Base-AE
[2026-03-20 22:47:03] DONE: F3 | Base-AE | run 1 | best=3.150483e+02 | time=5.826s
[2026-03-20 22:47:09] DONE: F3 | Base-AE | run 2 | best=3.188975e+02 | time=5.836s
[2026-03-20 22:47:15] DONE: F3 | Base-AE | run 3 | best=3.162093e+02 | time=5.817s
[2026-03-20 22:47:21] DONE: F3 | Base-AE | run 4 | best=3.193881e+02 | time=5.829s
[2026-03-20 22:47:27] DONE: F3 | Base-AE | run 5 | best=3.157533e+02 | time=5.799s
[2026-03-20 22:47:33] DONE: F3 | Base-AE | run 6 | best=3.152329e+02 | time=5.863s
[2026-03-20 22:47:39] DONE: F3 | Base-AE | run 7 | best=3.185231e+02 | time=5.891s
[2026-03-20 22:47:45] DONE: F3 | Base-AE | run 8 | best=3.171597e+02 | time=5.819s
[2026-03-20 22:47:51] DONE: F3 | Base-AE | run 9 | best=3.161194e+02 | time=5.802s
[2026-03-20 22:47:57] DONE: F3 | Base-AE | run 10 | best=3.156637e+02 | time=5.804s
[2026-03-20 22:48:03] DONE: F3 | Base-AE | run 11 | best=3.157534e+02 | time=5.795s
[2026-03-20 22:48:09] DONE: F3 | Base-AE | run 12 | best=3.199551e+02 | time=5.809s
[2026-03-20 22:48:15] DONE: F3 | Base-AE | run 13 | best=3.164028e+02 | time=5.819s
[2026-03-20 22:48:21] DONE: F3 | Base-AE | run 14 | best=3.195629e+02 | time=5.810s
[2026-03-20 22:48:26] DONE: F3 | Base-AE | run 15 | best=3.143147e+02 | time=5.829s
[2026-03-20 22:48:32] DONE: F3 | Base-AE | run 16 | best=3.153695e+02 | time=5.815s
[2026-03-20 22:48:38] DONE: F3 | Base-AE | run 17 | best=3.150167e+02 | time=5.816s
[2026-03-20 22:48:44] DONE: F3 | Base-AE | run 18 | best=3.170660e+02 | time=5.828s
[2026-03-20 22:48:50] DONE: F3 | Base-AE | run 19 | best=3.172585e+02 | time=5.777s
[2026-03-20 22:48:56] DONE: F3 | Base-AE | run 20 | best=3.150704e+02 | time=5.768s
[2026-03-20 22:49:02] DONE: F3 | Base-AE | run 21 | best=3.165807e+02 | time=5.777s
[2026-03-20 22:49:08] DONE: F3 | Base-AE | run 22 | best=3.138196e+02 | time=5.775s
[2026-03-20 22:49:14] DONE: F3 | Base-AE | run 23 | best=3.191533e+02 | time=5.810s
[2026-03-20 22:49:20] DONE: F3 | Base-AE | run 24 | best=3.109183e+02 | time=5.771s
[2026-03-20 22:49:26] DONE: F3 | Base-AE | run 25 | best=3.174355e+02 | time=5.846s
[2026-03-20 22:49:32] DONE: F3 | Base-AE | run 26 | best=3.160784e+02 | time=5.796s
[2026-03-20 22:49:38] DONE: F3 | Base-AE | run 27 | best=3.177514e+02 | time=5.846s
[2026-03-20 22:49:44] DONE: F3 | Base-AE | run 28 | best=3.174411e+02 | time=5.867s
[2026-03-20 22:49:50] DONE: F3 | Base-AE | run 29 | best=3.140751e+02 | time=5.831s
[2026-03-20 22:49:56] DONE: F3 | Base-AE | run 30 | best=3.195182e+02 | time=5.808s
[2026-03-20 22:49:56] Block finished: F3 | Base-AE | done=30 | failed=0
[2026-03-20 22:49:56] Entering block: F3 | AE+Init
[2026-03-20 22:50:02] DONE: F3 | AE+Init | run 1 | best=3.050151e+02 | time=5.919s
[2026-03-20 22:50:08] DONE: F3 | AE+Init | run 2 | best=3.044739e+02 | time=5.945s
[2026-03-20 22:50:14] DONE: F3 | AE+Init | run 3 | best=3.047061e+02 | time=5.932s
[2026-03-20 22:50:20] DONE: F3 | AE+Init | run 4 | best=3.049203e+02 | time=5.942s
[2026-03-20 22:50:27] DONE: F3 | AE+Init | run 5 | best=3.046878e+02 | time=5.908s
[2026-03-20 22:50:33] DONE: F3 | AE+Init | run 6 | best=3.053629e+02 | time=5.915s
[2026-03-20 22:50:39] DONE: F3 | AE+Init | run 7 | best=3.042874e+02 | time=5.924s
[2026-03-20 22:50:45] DONE: F3 | AE+Init | run 8 | best=3.039336e+02 | time=5.910s
[2026-03-20 22:50:51] DONE: F3 | AE+Init | run 9 | best=3.048091e+02 | time=5.915s
[2026-03-20 22:50:57] DONE: F3 | AE+Init | run 10 | best=3.056694e+02 | time=5.934s
[2026-03-20 22:51:03] DONE: F3 | AE+Init | run 11 | best=3.056226e+02 | time=5.923s
[2026-03-20 22:51:09] DONE: F3 | AE+Init | run 12 | best=3.059805e+02 | time=5.888s
[2026-03-20 22:51:15] DONE: F3 | AE+Init | run 13 | best=3.055502e+02 | time=5.875s
[2026-03-20 22:51:21] DONE: F3 | AE+Init | run 14 | best=3.054511e+02 | time=5.911s
[2026-03-20 22:51:27] DONE: F3 | AE+Init | run 15 | best=3.043970e+02 | time=5.921s
[2026-03-20 22:51:33] DONE: F3 | AE+Init | run 16 | best=3.038205e+02 | time=5.911s
[2026-03-20 22:51:39] DONE: F3 | AE+Init | run 17 | best=3.045329e+02 | time=5.919s
[2026-03-20 22:51:46] DONE: F3 | AE+Init | run 18 | best=3.056008e+02 | time=5.921s
[2026-03-20 22:51:52] DONE: F3 | AE+Init | run 19 | best=3.064718e+02 | time=5.918s
[2026-03-20 22:51:58] DONE: F3 | AE+Init | run 20 | best=3.046602e+02 | time=5.890s
[2026-03-20 22:52:04] DONE: F3 | AE+Init | run 21 | best=3.045477e+02 | time=5.968s
[2026-03-20 22:52:10] DONE: F3 | AE+Init | run 22 | best=3.058268e+02 | time=5.898s
[2026-03-20 22:52:16] DONE: F3 | AE+Init | run 23 | best=3.052460e+02 | time=5.906s
[2026-03-20 22:52:22] DONE: F3 | AE+Init | run 24 | best=3.039785e+02 | time=5.945s
[2026-03-20 22:52:28] DONE: F3 | AE+Init | run 25 | best=3.050420e+02 | time=5.921s
[2026-03-20 22:52:34] DONE: F3 | AE+Init | run 26 | best=3.047882e+02 | time=5.886s
[2026-03-20 22:52:40] DONE: F3 | AE+Init | run 27 | best=3.054903e+02 | time=5.948s
[2026-03-20 22:52:47] DONE: F3 | AE+Init | run 28 | best=3.059524e+02 | time=5.946s
[2026-03-20 22:52:53] DONE: F3 | AE+Init | run 29 | best=3.053082e+02 | time=5.932s
[2026-03-20 22:52:59] DONE: F3 | AE+Init | run 30 | best=3.059434e+02 | time=5.932s
[2026-03-20 22:52:59] Block finished: F3 | AE+Init | done=30 | failed=0
[2026-03-20 22:52:59] Entering block: F3 | AE+Init+AOS
[2026-03-20 22:53:06] DONE: F3 | AE+Init+AOS | run 1 | best=3.002199e+02 | time=6.977s
[2026-03-20 22:53:13] DONE: F3 | AE+Init+AOS | run 2 | best=3.002557e+02 | time=6.991s
[2026-03-20 22:53:20] DONE: F3 | AE+Init+AOS | run 3 | best=3.001984e+02 | time=7.037s
[2026-03-20 22:53:27] DONE: F3 | AE+Init+AOS | run 4 | best=3.002177e+02 | time=6.978s
[2026-03-20 22:53:35] DONE: F3 | AE+Init+AOS | run 5 | best=3.001834e+02 | time=7.021s
[2026-03-20 22:53:42] DONE: F3 | AE+Init+AOS | run 6 | best=3.001794e+02 | time=6.961s
[2026-03-20 22:53:49] DONE: F3 | AE+Init+AOS | run 7 | best=3.002032e+02 | time=6.970s
[2026-03-20 22:53:56] DONE: F3 | AE+Init+AOS | run 8 | best=3.002183e+02 | time=7.002s
[2026-03-20 22:54:03] DONE: F3 | AE+Init+AOS | run 9 | best=3.002293e+02 | time=7.008s
[2026-03-20 22:54:11] DONE: F3 | AE+Init+AOS | run 10 | best=3.002401e+02 | time=7.006s
[2026-03-20 22:54:18] DONE: F3 | AE+Init+AOS | run 11 | best=3.002156e+02 | time=7.018s
[2026-03-20 22:54:25] DONE: F3 | AE+Init+AOS | run 12 | best=3.001992e+02 | time=7.008s
[2026-03-20 22:54:32] DONE: F3 | AE+Init+AOS | run 13 | best=3.001474e+02 | time=6.996s
[2026-03-20 22:54:39] DONE: F3 | AE+Init+AOS | run 14 | best=3.002021e+02 | time=7.015s
[2026-03-20 22:54:47] DONE: F3 | AE+Init+AOS | run 15 | best=3.002428e+02 | time=7.014s
