[2026-03-16 21:09:28] Starting new batch: F:\MATLAB_Project\FAEAE_matlab\results_uav_scene4_formal_rerun\uav_comparison_results.mat
[2026-03-16 21:20:42] DONE: Scene 4 | GWO | run 29 | best=938.341355 | time=7.656s
[2026-03-16 21:20:50] DONE: Scene 4 | GWO | run 30 | best=692.663385 | time=7.587s
[2026-03-16 21:20:50] Block finished: Scene 4 | GWO | done=30 | failed=0
[2026-03-16 21:20:50] Entering block: Scene 4 | HHO
[2026-03-16 21:20:59] DONE: Scene 4 | HHO | run 1 | best=1285.045405 | time=9.641s
[2026-03-16 21:21:09] DONE: Scene 4 | HHO | run 2 | best=406.448052 | time=9.297s
[2026-03-16 21:21:18] DONE: Scene 4 | HHO | run 3 | best=434.652443 | time=9.484s
[2026-03-16 21:21:28] DONE: Scene 4 | HHO | run 4 | best=1449.827664 | time=9.334s
[2026-03-16 21:21:37] DONE: Scene 4 | HHO | run 5 | best=556.237157 | time=9.267s
[2026-03-16 21:21:47] DONE: Scene 4 | HHO | run 6 | best=593.869777 | time=9.472s
[2026-03-16 21:21:56] DONE: Scene 4 | HHO | run 7 | best=908.402228 | time=9.647s
[2026-03-16 21:22:06] DONE: Scene 4 | HHO | run 8 | best=567.015391 | time=9.282s
[2026-03-16 21:22:15] DONE: Scene 4 | HHO | run 9 | best=1042.172136 | time=9.420s
[2026-03-16 21:22:24] DONE: Scene 4 | HHO | run 10 | best=342.123607 | time=9.178s
[2026-03-16 21:22:34] DONE: Scene 4 | HHO | run 11 | best=522.406954 | time=9.378s
[2026-03-16 21:22:43] DONE: Scene 4 | HHO | run 12 | best=1449.593931 | time=9.431s
[2026-03-16 21:22:53] DONE: Scene 4 | HHO | run 13 | best=508.836759 | time=9.281s
[2026-03-16 21:23:02] DONE: Scene 4 | HHO | run 14 | best=1088.539291 | time=9.553s
[2026-03-16 21:23:12] DONE: Scene 4 | HHO | run 15 | best=399.542372 | time=9.315s
[2026-03-16 21:23:21] DONE: Scene 4 | HHO | run 16 | best=432.477071 | time=9.404s
[2026-03-16 21:23:31] DONE: Scene 4 | HHO | run 17 | best=358.054875 | time=9.336s
[2026-03-16 21:23:40] DONE: Scene 4 | HHO | run 18 | best=1481.376932 | time=9.517s
[2026-03-16 21:23:50] DONE: Scene 4 | HHO | run 19 | best=967.014314 | time=9.347s
[2026-03-16 21:23:59] DONE: Scene 4 | HHO | run 20 | best=773.789052 | time=9.037s
[2026-03-16 21:24:08] DONE: Scene 4 | HHO | run 21 | best=350.261827 | time=9.274s
[2026-03-16 21:24:18] DONE: Scene 4 | HHO | run 22 | best=392.582950 | time=9.558s
[2026-03-16 21:24:27] DONE: Scene 4 | HHO | run 23 | best=359.580311 | time=9.406s
[2026-03-16 21:24:37] DONE: Scene 4 | HHO | run 24 | best=1331.717812 | time=9.357s
[2026-03-16 21:24:46] DONE: Scene 4 | HHO | run 25 | best=558.248497 | time=9.499s
[2026-03-16 21:24:56] DONE: Scene 4 | HHO | run 26 | best=673.008975 | time=9.331s
[2026-03-16 21:25:05] DONE: Scene 4 | HHO | run 27 | best=1403.694762 | time=9.285s
[2026-03-16 21:25:14] DONE: Scene 4 | HHO | run 28 | best=930.371857 | time=9.256s
[2026-03-16 21:25:24] DONE: Scene 4 | HHO | run 29 | best=411.404607 | time=9.313s
[2026-03-16 21:25:33] DONE: Scene 4 | HHO | run 30 | best=721.120948 | time=9.348s
[2026-03-16 21:25:33] Block finished: Scene 4 | HHO | done=30 | failed=0
[2026-03-16 21:25:33] Entering block: Scene 4 | WOA
[2026-03-16 21:25:40] DONE: Scene 4 | WOA | run 1 | best=1896.322621 | time=7.281s
[2026-03-16 21:25:48] DONE: Scene 4 | WOA | run 2 | best=1405.021665 | time=7.182s
[2026-03-16 21:25:55] DONE: Scene 4 | WOA | run 3 | best=1703.281818 | time=7.251s
[2026-03-16 21:26:02] DONE: Scene 4 | WOA | run 4 | best=1754.162485 | time=7.168s
[2026-03-16 21:26:10] DONE: Scene 4 | WOA | run 5 | best=1644.909147 | time=7.259s
[2026-03-16 21:26:17] DONE: Scene 4 | WOA | run 6 | best=1619.422653 | time=7.234s
[2026-03-16 21:26:24] DONE: Scene 4 | WOA | run 7 | best=960.528299 | time=7.172s
[2026-03-16 21:26:32] DONE: Scene 4 | WOA | run 8 | best=1389.804106 | time=7.260s
[2026-03-16 21:26:39] DONE: Scene 4 | WOA | run 9 | best=1477.001083 | time=7.235s
[2026-03-16 21:26:46] DONE: Scene 4 | WOA | run 10 | best=355.567641 | time=7.240s
[2026-03-16 21:26:54] DONE: Scene 4 | WOA | run 11 | best=2064.827588 | time=7.267s
[2026-03-16 21:27:01] DONE: Scene 4 | WOA | run 12 | best=1222.692667 | time=7.321s
[2026-03-16 21:27:08] DONE: Scene 4 | WOA | run 13 | best=1592.528620 | time=7.276s
[2026-03-16 21:27:16] DONE: Scene 4 | WOA | run 14 | best=1925.624032 | time=7.330s
[2026-03-16 21:27:23] DONE: Scene 4 | WOA | run 15 | best=2104.625131 | time=7.215s
[2026-03-16 21:27:30] DONE: Scene 4 | WOA | run 16 | best=1847.242958 | time=7.189s
[2026-03-16 21:27:38] DONE: Scene 4 | WOA | run 17 | best=1519.720205 | time=7.247s
[2026-03-16 21:27:45] DONE: Scene 4 | WOA | run 18 | best=1612.105427 | time=7.214s
