algorithm,sceneId,runFile,bestFit,feasible,meanZ,maxZ,minZ,stdZ,pathLen,detourRatio,turnPenalty,lowAltFrac,highAltFrac,costNorm,meanZNorm,maxZNorm,stdZNorm,detourNorm,turnNorm,lowFracNorm,highFracNorm,repScore,inCostGate,manualSelected,isSelected
PSO,1,scene1_PSO_run007.mat,281.646469935724,1,8.87180546173598,18,8.00000000002538,1.84775364238936,135.187370956976,1.06095411332912,0.00936190301801288,1,0,0.0534875376128273,0.0143984117277156,0,0.311038065022422,0.0304444950781198,0.244032640262639,1,0,1.17431086849454,1,0,0
PSO,1,scene1_PSO_run008.mat,283.384266682905,1,10.228359513788,18,8,2.78341769952639,134.582175434366,1.05620452263484,0.0103648771361826,1,0,0.0870537279043568,0.155491576547162,0,0.647695873850209,0.00390611802462824,0.325573919080395,1,0,1.39574207458037,1,0,0
PSO,1,scene1_PSO_run009.mat,281.901179026913,1,9.33311486774848,18,8,2.35651961141244,134.909149401604,1.05877062309997,0.0104852324526476,1,0,0.0584073384110059,0.0623785154005675,0,0.494095258500114,0.018244225470996,0.335358744271073,1,0,1.28784845825733,1,0,0
PSO,1,scene1_PSO_run010.mat,282.657288691098,1,9.12633905265242,18,8,2.10010430183414,135.141197920332,1.06059174609907,0.0104185619530353,1,0,0.0730118776993017,0.0408720711008417,0,0.40183541842817,0.0284197652009826,0.329938467018331,1,0,1.25792391668027,1,0,0
PSO,1,scene1_PSO_run011.mat,282.108848990511,1,8.86564279644404,18,8,1.8427547534877,135.115250046913,1.06038810649249,0.00967570862829771,1,0,0.0624185609704134,0.0137574420970191,0,0.309239433375337,0.0272819272249582,0.26954487462568,1,0,1.18541837412876,1,0,0
PSO,1,scene1_PSO_run012.mat,291.427165260288,1,12.3050793373456,18,8.00000009518491,3.76256714853872,137.924379665505,1.08243423108698,0.00964961115294913,1,0,0.242405304308125,0.371488109752598,0,1,0.150464829650972,0.267423163331952,1,0,1.76530312567851,0,0,0
PSO,1,scene1_PSO_run013.mat,282.145454059668,1,9.5004306641451,18,8.01492196319349,2.52614513129377,134.748416153326,1.05750918425623,0.00921739271231965,1,0,0.0631256014910836,0.0797807819760684,0,0.555127586726184,0.011195925560515,0.232284026898544,1,0,1.27293909357773,1,0,0
PSO,1,scene1_PSO_run014.mat,282.293057846511,1,9.32875298831832,18,8.00000287970617,2.34677134740425,134.867097321768,1.05844059724948,0.00968024315656708,1,0,0.0659766235136283,0.06192484282303,0,0.490587771837738,0.0164002033180442,0.269913529436629,1,0,1.26246674808173,1,0,0
PSO,1,scene1_PSO_run015.mat,282.609381445048,1,9.72936317167016,18,8.00000000042316,2.92614865225803,134.788796253534,1.05782608836575,0.010873346065554,1,0,0.0720865314297409,0.10359171082767,0,0.699051367771358,0.0129666298779451,0.366912180944716,1,0,1.38518775644624,1,0,0
PSO,1,scene1_PSO_run016.mat,330.649537129734,1,18.3479684636123,19.0913741954146,12,1.2642850471984,157.297639769491,1.23447609602169,0.0113636844176193,1,0,1,1,1,0.101102397109883,1,0.406776436219573,1,0,3.3879861737653,0,0,0
